countries,n_edits_million,n_users,bing_n_edits_million,bing_n_edits_proportion,bing_n_users,bing_n_users_proportion,esri_n_edits_million,esri_n_users,maxar_n_edits_million,maxar_n_users,mapbox_n_edits_million,mapbox_n_users,mapillary_n_edits_million,mapillary_n_users
[VEN],1.614384,3220,0.34029,0.21078628133083577,624,0.1937888198757764,0.255771,362,0.557466,364,0.031285,120,0.002211,47
[VGB],0.003639,148,0.000797,0.21901621324539708,38,0.25675675675675674,0.000555,18,0.000407,20,0.000147,5,0.000168,7
[VIR],0.025323,328,0.006079,0.24005844489199543,79,0.24085365853658536,0.00133,36,0.001449,22,0.000386,11,0.00096,10
[VNM],9.856671,9481,1.481069,0.150260569719736,1059,0.11169707836726084,1.420633,736,4.878619,952,0.827967,389,0.081167,97
[VUT],0.304999,982,0.108739,0.3565224804015751,190,0.1934826883910387,0.072947,161,0.0088,52,0.006478,11,0.000328,4
[WLF],0.004939,93,0.000165,0.0334075723830735,14,0.15053763440860216,8e-06,4,0.000812,16,,,,
[WSM],0.063337,264,0.005196,0.08203735573203656,51,0.19318181818181818,0.000384,23,0.011532,36,6.2e-05,3,0.000267,11
[XA],0.001187,31,1.5e-05,0.012636899747262006,3,0.0967741935483871,3e-06,2,0.000649,9,,,,
[XB],0.001994,109,3e-05,0.015045135406218655,7,0.06422018348623854,6.4e-05,2,5e-06,3,,,,
[XC],0.001269,36,4.6e-05,0.03624901497241923,4,0.1111111111111111,6.8e-05,3,3.8e-05,6,,,,
[XD],0.001094,41,1.4e-05,0.012797074954296161,4,0.0975609756097561,3.6e-05,4,2.3e-05,2,0.00012,2,,
[XE],0.004374,83,0.000277,0.06332876085962505,14,0.1686746987951807,9.9e-05,6,3.7e-05,6,0.00012,3,,
[XG],0.650369,638,0.476031,0.7319398679826375,111,0.17398119122257052,0.013424,32,0.002051,17,0.049293,22,4e-06,2
[XH],0.025356,328,0.000336,0.013251301467108376,27,0.08231707317073171,9.1e-05,10,9.4e-05,13,,,,
[XI],0.007462,127,0.000181,0.024256231573304747,8,0.06299212598425197,0.000363,6,0.004332,42,5.7e-05,1,,
[XJ],0.000863,69,0.000143,0.1657010428736964,5,0.07246376811594203,9.9e-05,5,6.3e-05,6,,,,
[XK],0.794758,2200,0.082523,0.10383412309155743,270,0.12272727272727273,0.050289,176,0.07542,153,0.004239,38,0.003316,64
[XL],0.000656,25,1e-05,0.015243902439024392,3,0.12,1.9e-05,1,1e-05,3,,,,
[XM],0.000961,46,6e-06,0.006243496357960458,1,0.021739130434782608,,,0.000139,8,,,1e-06,1
[XN],0.000529,28,7e-06,0.013232514177693763,3,0.10714285714285714,0.00018,3,3.3e-05,4,,,,
[XO],0.000928,59,1.3e-05,0.014008620689655171,3,0.05084745762711865,0.000283,1,7e-06,2,,,,
[XP],0.003888,138,3.3e-05,0.008487654320987656,8,0.057971014492753624,9e-05,7,0.00032,15,2e-06,1,1.6e-05,1
[XQ],0.000226,16,,,,,2.1e-05,1,3.3e-05,1,,,,
[XR],0.004786,127,9.5e-05,0.01984956122022566,18,0.14173228346456693,0.000446,16,0.001028,22,6e-06,4,,
[XS],0.001234,70,0.000251,0.20340356564019446,17,0.24285714285714285,3.8e-05,3,8.4e-05,5,,,4.7e-05,1
